AXISBANK.NS,BANKBARODA.NS,BHARTIARTL.NS,BLUESTARCO.NS,BRITANNIA.NS,CANBK.NS,CASTROLIND.NS,COALINDIA.NS,FINCABLES.NS,FMCGIETF.NS,FSL.NS,GESHIP.NS,GOLDBEES.NS,HCLTECH.NS,ICICIBANK.NS,IDEA.NS,INDUSINDBK.NS,IOC.NS,ITC.NS,ITCHOTELS.NS,JIOFIN.NS,KARURVYSYA.NS,M&M.NS,MRPL.NS,NAM-INDIA.NS,NATIONALUM.NS,NIFTYETF.NS,ONGC.NS,PNB.NS,PNBHOUSING.NS,POLICYBZR.NS,POWERGRID.NS,PVRINOX.NS,RAYMOND.NS,RAYMONDREL.NS,SBIN.NS,SILVERBEES.NS,SUNPHARMA.NS,SWIGGY.NS,TCS.NS,TITAN.NS,TRITURBINE.NS,YESBANK.NS,TotalValue,Date
-1266.9000244140625,30504.998779296875,-4212.60009765625,-1816.0999755859375,-29922.5,0.0,191.5,14781.099853515625,3137.800048828125,12109.049674987793,-1999.65673828125,-1105.830810546875,0.0,-3256.80712890625,-4066.2000732421875,5878.2198667526245,31585.750427246094,6671.5997314453125,116231.01443481445,96364.65118408203,22627.500915527344,-3270.0,-30419.19921875,-3177.5099487304688,-1784.5999755859375,-2609.719482421875,22744.7998046875,-28073.13427734375,0.0,-2994.0,23163.400634765625,-4287.07275390625,0.0,-436.5,-529.9500122070312,19979.000244140625,0.0,3433.6953125,0.0,73431.20043945312,-28361.899658203125,15613.011291503906,6018.300247192383,350876.4127149582,2026-01-02
-1272.0,30064.999389648438,-4054.199951171875,-1801.300048828125,-29887.5,0.0,188.64999389648438,14451.211395263672,3082.60009765625,11957.819869995117,-1870.1824951171875,-1078.830322265625,0.0,-3298.902099609375,-4212.900146484375,5618.740114212036,30878.75,6304.4000244140625,111947.69439697266,94332.5,21543.75,-3163.7999267578125,-29418.400390625,-2923.199935913086,-1757.800048828125,-2749.963134765625,22201.59912109375,-27216.26564025879,0.0,-2919.75,21980.400634765625,-4082.172607421875,0.0,-407.45001220703125,-485.1000061035156,20010.0,0.0,3437.470947265625,0.0,72462.11767578125,-29412.5986328125,14950.439880371094,6166.8000411987305,339567.62818336487,2026-01-09
-1294.199951171875,30825.0,-4032.800048828125,-1806.0999755859375,-29492.5,0.0,185.27999877929688,14888.184814453125,3119.60009765625,11872.620357513428,-1916.570068359375,-1113.3751220703125,0.0,-3396.0,-4232.400146484375,5399.179847717285,33384.74914550781,6452.80029296875,109307.9677734375,90646.49703979492,20909.999084472656,-3210.0,-29265.599609375,-3176.4598846435547,-1764.800048828125,-2857.022705078125,22182.39990234375,-28737.00015258789,0.0,-2884.5,21060.0,-4071.0966796875,0.0,-395.79998779296875,-482.1000061035156,20846.0009765625,0.0,3316.25830078125,0.0,73754.09887695312,-29378.29931640625,14518.830352783203,6334.199752807617,335497.04291152954,2026-01-16
-1258.0,0.0,-3969.39990234375,-1698.0999755859375,-29175.0,0.0,183.67999267578125,-10323.527526855469,2887.0,11729.909934997559,-1841.4105834960938,-1100.6690673828125,47782.49931335449,-3414.0,-4030.2000732421875,-1241.2500381469727,31235.750427246094,6865.3199462890625,-37694.60821533203,88371.85325622559,18967.499542236328,-3186.0,-28347.19921875,-3263.399871826172,-1647.9000244140625,-2928.527099609375,21679.19921875,-28539.352584838867,0.0,-2437.2000732421875,21760.700317382812,-4021.25634765625,0.0,-369.70001220703125,-412.75,20590.0,93673.603515625,3242.73583984375,0.0,72737.5,-28152.600341796875,13346.699523925781,5648.400020599365,261650.29989242554,2026-01-23
-1370.4000244140625,0.0,-3937.39990234375,-1816.9000244140625,-29302.5,0.0,184.14999389648438,-10874.987030029297,2889.0,11668.139739990234,-1878.1094970703125,-1193.5826416015625,0.0,-3391.199951171875,-4065.0,-1396.2500095367432,31363.499145507812,7182.560241699219,-37548.9123840332,107552.19673156738,19087.5,-3616.7999267578125,-27454.400390625,-3707.339859008789,-1756.199951171875,-3045.462890625,21902.39990234375,-31270.394958496094,0.0,-2467.2000732421875,21508.5,-4058.43896484375,0.0,-379.95001220703125,-506.5,21543.00048828125,0.0,3170.00830078125,20133.75,71849.69775390625,-27841.79931640625,14505.839294433594,5780.6999588012695,157441.21374320984,2026-01-30
-1341.5999755859375,0.0,-4076.800048828125,-1880.9000244140625,-29555.0,0.0,185.22999572753906,-10678.829956054688,3084.800048828125,11844.930130004883,-1704.8900756835938,-1274.199951171875,0.0,-3187.39990234375,-4218.2999267578125,-1389.9999856948853,31625.999145507812,7708.799865722656,65485.79754638672,107576.0018157959,20107.500457763672,-3817.2000732421875,-28624.0,-3890.25,-1839.5999755859375,-2837.199951171875,22210.400390625,-31269.23648071289,0.0,-2547.75,19563.700317382812,-4632.0,0.0,-403.70001220703125,-460.75,21328.00048828125,0.0,3390.199951171875,20800.0,67656.80224609375,-28987.0,14514.5,5748.300247192383,254214.35630702972,2026-02-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-20
